train_loss,train_acc,val_loss,val_acc
1.3536,0,1.3415,0
1.3536,0.6999,1.3415,0.743
1.3419,0.7771,1.3315,0.8117
1.3352,0.8072,1.3265,0.8196
1.3317,0.8191,1.3235,0.8309
1.3289,0.8286,1.321,0.8399
1.3264,0.835,1.3188,0.8501
1.324,0.8403,1.3167,0.8546
1.3218,0.8451,1.3148,0.8568
1.3197,0.8493,1.313,0.8579
1.3178,0.8517,1.3114,0.8591
1.316,0.854,1.3099,0.8613
1.3143,0.8575,1.3085,0.8625
1.3127,0.8585,1.3072,0.867
1.3112,0.8594,1.306,0.8692
1.3098,0.8605,1.3049,0.8681
1.3085,0.8617,1.3038,0.8715
1.3073,0.8632,1.3029,0.8737
1.3061,0.8639,1.302,0.8737
1.305,0.8641,1.3011,0.8737
1.304,0.8648,1.3003,0.876
1.303,0.8658,1.2996,0.8749
1.3021,0.8669,1.2988,0.876
1.3011,0.8678,1.2981,0.8771
1.3003,0.8694,1.2975,0.8771
1.2994,0.8693,1.2968,0.876
1.2986,0.8702,1.2962,0.876
1.2978,0.871,1.2956,0.8749
1.297,0.8718,1.295,0.8771
1.2962,0.8727,1.2944,0.8794
