train_loss,train_acc,val_loss,val_acc
1.3527,0,1.3412,0
1.3527,0.7235,1.3412,0.7587
1.3405,0.7983,1.3305,0.8219
1.3336,0.8294,1.3259,0.841
1.3302,0.839,1.3232,0.8546
1.3275,0.8449,1.3208,0.8681
1.3249,0.8507,1.3185,0.8726
1.3226,0.8539,1.3164,0.8782
1.3203,0.8584,1.3144,0.8782
1.3182,0.8627,1.3125,0.8805
1.3163,0.8659,1.3108,0.8805
1.3145,0.8687,1.3092,0.8794
1.3128,0.8701,1.3078,0.8782
1.3113,0.8721,1.3065,0.8805
1.3099,0.8729,1.3053,0.8828
1.3085,0.8751,1.3043,0.8828
1.3073,0.8764,1.3033,0.8884
1.3061,0.8781,1.3024,0.8884
