train_loss,train_acc,val_loss,val_acc
1.3566,0,1.351,0
1.3566,0.6756,1.351,0.7283
1.3452,0.7561,1.3391,0.8275
1.3369,0.8083,1.333,0.8433
1.3332,0.8211,1.33,0.8512
1.3306,0.83,1.3275,0.8534
1.3282,0.8362,1.3252,0.8647
1.326,0.8425,1.3231,0.876
1.3238,0.8462,1.321,0.8782
1.3218,0.8513,1.3191,0.8794
1.3199,0.8539,1.3174,0.8794
1.318,0.8576,1.3157,0.8839
1.3131,0.86451,1.3114,0.8816
1.3116,0.8664,1.3102,0.8828
1.3103,0.8675,1.3091,0.885
1.309,0.8694,1.3081,0.8828
1.3078,0.8713,1.3071,0.8805
1.3066,0.8723,1.3062,0.8828
1.3055,0.8735,1.3054,0.8828
1.3045,0.8752,1.3046,0.8839
1.3036,0.8753,1.3039,0.8861
1.3026,0.8768,1.3032,0.8861
1.3017,0.8764,1.3025,0.8861
1.3017,0.8773,1.3019,0.8884
1.3001,0.8778,1.3013,0.8906
1.2993,0.8784,1.3007,0.8906
1.2985,0.8784,1.3002,0.8895
1.2977,0.8796,1.2997,0.8884
1.297,0.8799,1.2992,0.8884
1.2963,0.88,1.2987,0.8884
1.2956,0.8798,1.2982,0.8873
1.2949,0.8794,1.2978,0.8873
